Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Ben Roethlisberger\RoetBe00,PIT,36,QB,16,16,9-6-1,452,675,67,5129,34,5,16,2.4,248,97,7.6,7.5,11.3,320.6,96.5,69.6,24,166,3.4,7.10,7.04,2,3
2,Patrick Mahomes*+\MahoPa00,KAN,23,QB,16,16,12-4-0,383,580,66,5097,50,8.6,12,2.1,262,89,8.8,9.6,13.3,318.6,113.8,80.3,26,171,4.3,8.13,8.89,2,2
3,Matt Ryan\RyanMa00,ATL,33,QB,16,16,7-9-0,422,608,69.4,4924,35,5.8,7,1.2,236,75,8.1,8.7,11.7,307.8,108.1,65.7,42,296,6.5,7.12,7.71,1,1
4,Jared Goff*\GoffJa00,LAR,24,QB,16,16,13-3-0,364,561,64.9,4688,32,5.7,12,2.1,268,70,8.4,8.5,12.9,293.0,101.1,63.6,33,223,5.6,7.52,7.69,4,4
5,Andrew Luck*\LuckAn00,IND,29,QB,16,16,10-6-0,430,639,67.3,4593,39,6.1,15,2.3,260,68,7.2,7.4,10.7,287.1,98.7,69.6,18,134,2.7,6.79,6.95,3,3
6,Aaron Rodgers*\RodgAa00,GNB,35,QB,16,16,6-9-1,372,597,62.3,4442,25,4.2,2,0.3,200,75,7.4,8.1,11.9,277.6,97.6,58.0,49,353,7.6,6.33,6.96,3,3
7,Tom Brady*\BradTo00,NWE,41,QB,16,16,11-5-0,375,570,65.8,4355,29,5.1,11,1.9,255,63,7.6,7.8,11.6,272.2,97.7,68.4,21,147,3.6,7.12,7.26,1,2
8,Philip Rivers*\RivePh00,LAC,37,QB,16,16,12-4-0,347,508,68.3,4308,32,6.3,12,2.4,235,75,8.5,8.7,12.4,269.3,105.5,67.8,32,204,5.9,7.60,7.79,3,3
9,Eli Manning\MannEl00,NYG,37,QB,16,16,5-11-0,380,576,66,4299,21,3.6,11,1.9,205,58,7.5,7.3,11.3,268.7,92.4,49.1,47,358,7.5,6.33,6.21,1,2
10,Kirk Cousins\CousKi00,MIN,30,QB,16,16,8-7-1,425,606,70.1,4298,30,5,10,1.7,218,75,7.1,7.3,10.1,268.6,99.7,59.5,40,262,6.2,6.25,6.48,1,0
11,Deshaun Watson*\WatsDe00,HOU,23,QB,16,16,11-5-0,345,505,68.3,4165,26,5.1,9,1.8,215,73,8.2,8.5,12.1,260.3,103.1,61.8,62,384,10.9,6.67,6.87,5,5
12,Derek Carr\CarrDe02,OAK,27,QB,16,16,4-12-0,381,553,68.9,4049,19,3.4,10,1.8,197,66,7.3,7.2,10.6,253.1,93.9,46.5,51,299,8.4,6.21,6.09,3,3
13,Drew Brees*\BreeDr00,NOR,39,QB,15,15,13-2-0,364,489,74.4,3992,32,6.5,5,1,223,72,8.2,9.0,11.0,266.1,115.7,79.2,17,121,3.4,7.65,8.47,6,7
14,Case Keenum\KeenCa00,DEN,30,QB,16,16,6-10-0,365,586,62.3,3890,18,3.1,15,2.6,179,64,6.6,6.1,10.7,243.1,81.2,44.5,34,235,5.5,5.90,5.39,3,4
15,Dak Prescott*\PresDa01,DAL,25,QB,16,16,10-6-0,356,526,67.7,3885,22,4.2,8,1.5,206,90,7.4,7.5,10.9,242.8,96.9,55.2,56,347,9.6,6.08,6.22,3,5
16,Matthew Stafford\StafMa00,DET,30,QB,16,16,6-10-0,367,555,66.1,3777,21,3.8,11,2,197,67,6.8,6.7,10.3,236.1,89.9,51.3,40,255,6.7,5.92,5.79,0,1
17,Baker Mayfield\MayfBa00,CLE,23,QB,14,13,6-7-0,310,486,63.8,3725,27,5.6,14,2.9,171,71,7.7,7.5,12.0,266.1,93.7,51.2,25,173,4.9,6.95,6.77,3,4
18,Russell Wilson*\WilsRu00,SEA,30,QB,16,16,10-6-0,280,427,65.6,3448,35,8.2,7,1.6,162,66,8.1,9.0,12.3,215.5,110.9,63.3,51,355,10.7,6.47,7.28,2,4
19,Cam Newton\NewtCa00,CAR,29,QB,14,14,6-8-0,320,471,67.9,3395,24,5.1,13,2.8,180,82,7.2,7.0,10.6,242.5,94.2,53.2,29,213,5.8,6.36,6.15,2,2
20,Mitchell Trubisky*\TrubMi00,CHI,24,QB,14,14,11-3-0,289,434,66.6,3223,24,5.5,12,2.8,163,70,7.4,7.3,11.2,230.2,95.4,71.0,24,143,5.2,6.72,6.59,1,2
21,Carson Wentz\WentCa00,PHI,26,QB,11,11,5-6-0,279,401,69.6,3074,21,5.2,7,1.7,159,58,7.7,7.9,11.0,279.5,102.2,62.0,31,202,7.2,6.65,6.89,2,2
22,Jameis Winston\WinsJa00,TAM,24,QB,11,9,3-6-0,244,378,64.6,2992,19,5,14,3.7,152,64,7.9,7.3,12.3,272.0,90.2,66.2,27,157,6.7,7.00,6.38,0,1
23,Sam Darnold\DarnSa00,NYJ,21,QB,13,13,4-9-0,239,414,57.7,2865,17,4.1,15,3.6,130,76,6.9,6.1,12.0,220.4,77.6,45.9,30,204,6.8,5.99,5.24,1,1
