Name,PlayoffGames,PlayoffGS,PlayoffERA,PlayoffW,PlayoffL,PlayoffSV,PlayoffCG,PlayoffIP,PlayoffHits,PlayoffRuns,PlayoffER,PlayoffBB,PlayoffSO,PlayoffWHIP,PlayoffWPA,PlayoffcWPA,RSGames,RSGS,RSERA,RSW,RSL,RSSV,RSIP,RSH,RSBB,RSSO,RSWHIP
Ryan Brasier\brasiry01,1,0,0.00,0,0,0,0,0.2,1,0,0,0,0,1.500,0.07,0.86%,13,0,1.50,1,1,0,12.0,12,4,9,1.333
Nathan Eovaldi\eovalna01,1,1,1.69,1,0,0,0,5.1,4,1,1,0,8,0.750,0.17,1.99%,32,32,3.75,11,9,0,182.1,182,35,195,1.190
Tanner Houck\houckta01,1,0,0.00,0,0,0,0,1.0,0,0,0,0,2,0.000,0.05,0.62%,18,13,3.52,1,5,1,69.0,57,21,87,1.130
Hansel Robles\robleha01,1,0,0.00,0,0,0,0,1.0,0,0,0,0,1,0.000,0.02,0.17%,*72,0,4.43,3,5,14,69.0,58,37,76,1.377
Garrett Whitlock\whitlga01,1,0,9.00,0,0,0,0,1.0,1,1,1,0,0,1.000,0.01,0.09%,46,0,1.96,8,4,2,73.1,64,17,81,1.105
